 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [23/Sep/2018 20:48:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [23/Sep/2018 20:48:37] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2018 14:09:22] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:22] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:22] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:22] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:22] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:22] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:22] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:23] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:23] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:09:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 14:21:46] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2018 15:05:33] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:33] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:33] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:33] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:34] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:34] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:34] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:34] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:34] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 15:05:34] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:17] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2018 17:22:17] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:17] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:17] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:17] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:18] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:18] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:18] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:18] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:18] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 17:22:18] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2018 18:12:40] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:40] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:40] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:40] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:40] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:40] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:41] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:41] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:41] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 18:12:41] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:34] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2018 19:19:35] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:35] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:35] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:35] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:35] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:35] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:35] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:36] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:36] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:19:36] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:26:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [24/Sep/2018 19:27:00] "GET /apple-touch-icon.png HTTP/1.1" 404 -
